Code,Name,Country,Exchange,Currency,Type,Isin
BSWD,Bank Of India Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000089709
BTEK,Bumi Teknokultura Unggul Tbk,Indonesia,JK,IDR,Common Stock,ID1000098106
BTEL,PT Bakrie Telecom Tbk,Indonesia,JK,IDR,Common Stock,ID1000103005
BTON,Betonjaya Manunggal Tbk,Indonesia,JK,IDR,Common Stock,ID1000071509
BTPN,PT Bank SMBC Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000118508
BTPS,Bank Tabungan Pensiunan Nasional Syariah PT,Indonesia,JK,IDR,Common Stock,ID1000142805
BUAH,PT Segar Kumala Indonesia Tbk,Indonesia,JK,IDR,Common Stock,
BUDI,Budi Starch & Sweetener Tbk,Indonesia,JK,IDR,Common Stock,ID1000084908
BUKA,PT Bukalapak.com,Indonesia,JK,IDR,Common Stock,ID1000162001
BUKK,Bukaka Teknik Utama Tbk Pt,Indonesia,JK,IDR,Common Stock,ID1000080807
BULL,Buana Listya Tama Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000133705
BUMI,Bumi Resources Tbk,Indonesia,JK,IDR,Common Stock,ID1000068703
BUVA,Bukit Uluwatu Villa Tbk,Indonesia,JK,IDR,Common Stock,ID1000116007
BVIC,Bank Victoria International,Indonesia,JK,IDR,Common Stock,ID1000056302
BWPT,Eagle High Plantations Tbk,Indonesia,JK,IDR,Common Stock,ID1000113202
BYAN,Bayan Resources Tbk,Indonesia,JK,IDR,Common Stock,ID1000111701
CAKK,Cahayaputra Asa Keramik Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000146509
CAMP,Campina Ice Cream Industry Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000141500
CANI,Capitol Nusantara Indonesia,Indonesia,JK,IDR,Common Stock,ID1000130503
CARE,Metro Healthcare Indonesia,Indonesia,JK,IDR,Common Stock,ID1000154909
CARS,Industri Dan Perdagangan Bintraco Dharma Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000138308
CASA,Capital Financial Indonesia Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000137508
CASH,Cashlez Worldwide Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000155906
CASS,PT Cardig Aero Services Tbk,Indonesia,JK,IDR,Common Stock,ID1000121403
CBDK,PT Bangun Kosambi Sukses Tbk,Indonesia,JK,IDR,Common Stock,
CBMF,Cahaya Bintang Medan Tbk Pt,Indonesia,JK,IDR,Common Stock,ID1000155708
CBPE,Citra Buana Prasida,Indonesia,JK,IDR,Common Stock,
CBRE,PT Cakra Buana Resources Energ,Indonesia,JK,IDR,Common Stock,
CBUT,Citra Borneo Utama,Indonesia,JK,IDR,Common Stock,
CCSI,Communication Cable Systems Indonesia Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000149008
CDIA,CDIA,Indonesia,JK,IDR,Common Stock,
CEKA,Wilmar Cahaya Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000135007
CENT,Centratama Telekomunikasi Ind,Indonesia,JK,IDR,Common Stock,ID1000076805
CFIN,Clipan Finance Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000095201
CGAS,Citra Nusantara Gemilang Tbk.,Indonesia,JK,IDR,Common Stock,
CHEK,PT Diastika Biotekindo Tbk,Indonesia,JK,IDR,Common Stock,
CHEM,PT Chemstar Indonesia Tbk,Indonesia,JK,IDR,Common Stock,
CHIP,Pelita Teknologi Global,Indonesia,JK,IDR,Common Stock,
CINT,Chitose Internasional Tbk,Indonesia,JK,IDR,Common Stock,ID1000131907
CITA,Cita Mineral Investindo Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000082803
CITY,Natura City Developments Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000145501
CLAY,Citra Putra Realty Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000147903
CLEO,Sariguna Primatirta PT,Indonesia,JK,IDR,Common Stock,ID1000138605
CLPI,Colorpak Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000079106
CMNP,Citra Marga Nusaphala Persada,Indonesia,JK,IDR,Common Stock,ID1000070402
CMNT,Cemindo Gemilang Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000163108
CMPP,PT AirAsia Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000132608
CMRY,Cisarua Mountain Dairy Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000164700
CNKO,Exploitasi Energi Indonesia,Indonesia,JK,IDR,Common Stock,ID1000096209
CNMA,PT Nusantara Sejahtera Raya Tbk,Indonesia,JK,IDR,Common Stock,
CNTB,PT Century Textile Industry Tbk,Indonesia,JK,IDR,Common Stock,
CNTX,PT Century Textile Industry Tbk,Indonesia,JK,IDR,Common Stock,ID2000081902
COAL,PT Black Diamond Resources Tbk,Indonesia,JK,IDR,Common Stock,
COCO,PT Wahana Interfood Nusantara Tbk,Indonesia,JK,IDR,Common Stock,ID1000148208
COIN,PT Indokripto Koin Semesta Tbk,Indonesia,JK,IDR,Common Stock,
COWL,Cowell Development Tbk,Indonesia,JK,IDR,Common Stock,ID1000108707
CPIN,Charoen Pokphand Indonesia TBK PT,Indonesia,JK,IDR,Common Stock,ID1000117708
CPRI,Capri Nusa Satu Properti Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000148406
CPRO,Central Proteina Prima Tbk,Indonesia,JK,IDR,Common Stock,ID1000105000
CRAB,PT Toba Surimi Industries Tbk,Indonesia,JK,IDR,Common Stock,
CRSN,PT Carsurin Tbk,Indonesia,JK,IDR,Common Stock,
CSAP,Catur Sentosa Adiprana Tbk,Indonesia,JK,IDR,Common Stock,ID1000108301
CSIS,PT Cahayasakti Investindo Sukses Tbk,Indonesia,JK,IDR,Common Stock,ID1000138704
CSMI,Cipta Selera Murni Pt,Indonesia,JK,IDR,Common Stock,ID1000155401
CSRA,Cisadane Sawit Raya Pt,Indonesia,JK,IDR,Common Stock,ID1000153307
CTBN,PT Citra Tubindo Tbk,Indonesia,JK,IDR,Common Stock,
CTRA,Ciputra Development Tbk,Indonesia,JK,IDR,Common Stock,ID1000115306
CTTH,Citatah Tbk,Indonesia,JK,IDR,Common Stock,ID1000070105
CUAN,PT Petrindo Jaya Kreasi Tbk,Indonesia,JK,IDR,Common Stock,ID1000187206
CYBR,PT ITSEC Asia Tbk,Indonesia,JK,IDR,Common Stock,
DAAZ,Daaz Bara Lestari Tbk,Indonesia,JK,IDR,Common Stock,
DADA,Diamond Citra Propertindo PT,Indonesia,JK,IDR,Common Stock,ID1000154503
DART,Duta Anggada Realty Tbk,Indonesia,JK,IDR,Common Stock,ID1000089303
DATA,Remala Abadi Tbk.,Indonesia,JK,IDR,Common Stock,
DAYA,Duta Intidaya Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000137300
DCII,DCI Indonesia Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000158603
DEAL,Dewata Freight International Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000146806
DEFI,Danasupra Erapacific Tbk,Indonesia,JK,IDR,Common Stock,ID1000136104
DEPO,Caturkarda Depo Bangunan PT Tbk,Indonesia,JK,IDR,Common Stock,ID1000164304
DEWA,Darma Henwa Tbk,Indonesia,JK,IDR,Common Stock,ID1000107303
DEWI,PT Dewi Shri Farmindo Tbk,Indonesia,JK,IDR,Common Stock,
DFAM,PT Dafam Property Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000142607
DGIK,Nusa Konstruksi Enjiniring Tbk,Indonesia,JK,IDR,Common Stock,ID1000108806
DGNS,Diagnos Laboratorium Utama PT Tbk,Indonesia,JK,IDR,Common Stock,ID1000158702
DGWG,DGWG,Indonesia,JK,IDR,Common Stock,
DIGI,Arkadia Digital Media Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000145402
DILD,Intiland Development Tbk,Indonesia,JK,IDR,Common Stock,ID1000116403
DIVA,Nusantara Voucher Distribution Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000147002
DKFT,Central Omega Resources Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000124100
DKHH,DKHH,Indonesia,JK,IDR,Common Stock,
DLTA,Delta Djakarta Tbk,Indonesia,JK,IDR,Common Stock,ID1000136005
DMAS,Puradelta Lestari PT,Indonesia,JK,IDR,Common Stock,ID1000134109
DMMX,Digital Mediatama Maxima PT,Indonesia,JK,IDR,Common Stock,ID1000151806
DMND,Diamond Food Indonesia PT,Indonesia,JK,IDR,Common Stock,ID1000153802
DNAR,Bank Dinar Indonesia Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000132301
DNET,Indoritel Makmur Internasional,Indonesia,JK,IDR,Common Stock,ID1000063605
DOID,PT Buma Internasional Grup Tbk,Indonesia,JK,IDR,Common Stock,ID1000110505
DOOH,Era Media Sejahtera,Indonesia,JK,IDR,Common Stock,
DOSS,PT Global Sukses Digital Tbk,Indonesia,JK,IDR,Common Stock,
DPNS,Duta Pertiwi Nusantara Tbk,Indonesia,JK,IDR,Common Stock,ID1000103500
DPUM,Dua Putra Utama Makmur PT,Indonesia,JK,IDR,Common Stock,ID1000136203
DRMA,Dharma Polimetal Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000165509
DSFI,Dharma Samudera Fishing Tbk,Indonesia,JK,IDR,Common Stock,ID1000065808
DSNG,Dharma Satya Nusantara Ptdsn,Indonesia,JK,IDR,Common Stock,ID1000135809
DSSA,Dian Swastatika Sentosa Tbk,Indonesia,JK,IDR,Common Stock,ID1000113400
DUCK,PT Jaya Bersama Indo Tbk,Indonesia,JK,IDR,Common Stock,ID1000146202
DUTI,Duta Pertiwi Tbk,Indonesia,JK,IDR,Common Stock,ID1000076300
DVLA,Darya-Varia Laboratoria Tbk,Indonesia,JK,IDR,Common Stock,ID1000117203
DWGL,Dwi Guna Laksana Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000141302
DYAN,Dyandra Media International PT,Indonesia,JK,IDR,Common Stock,ID1000126808
EAST,Eastparc Hotel Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000150808
ECII,Electronic City Indonesia Tbk,Indonesia,JK,IDR,Common Stock,ID1000127905
EDGE,Indointernet Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000159403
EKAD,Ekadharma International Tbk,Indonesia,JK,IDR,Common Stock,ID1000104805
ELIT,PT Data Sinergitama Jaya Tbk,Indonesia,JK,IDR,Common Stock,
ELPI,PT Pelayaran Nasional Ekalya P,Indonesia,JK,IDR,Common Stock,
ELSA,Elnusa Tbk,Indonesia,JK,IDR,Common Stock,ID1000109606
ELTY,Bakrieland Development Tbk,Indonesia,JK,IDR,Common Stock,ID1000088701
EMAS,PT Merdeka Gold Resources Tbk,Indonesia,JK,IDR,Common Stock,ID1000211600
EMDE,Megapolitan Developments Tbk,Indonesia,JK,IDR,Common Stock,ID1000118003
EMTK,Elang Mahkota Teknologi Tbk,Indonesia,JK,IDR,Common Stock,ID1000113905
ENAK,Champ Resto Indonesia PT,Indonesia,JK,IDR,Common Stock,ID1000166101
ENRG,Energi Mega Persada Tbk,Indonesia,JK,IDR,Common Stock,ID1000098304
ENVY,Envy Technologies Indonesia Tbk PT,Indonesia,JK,IDR,Common Stock,ID1000149909
ENZO,Morenzo Abadi Perkasa Tbk Pt,Indonesia,JK,IDR,Common Stock,ID1000157803
EPAC,Megalestari Epack Sentosaraya Pt,Indonesia,JK,IDR,Common Stock,ID1000156102
