???????????????????????????????????????????????????,,,,,,?????? ? ?????? 23 ?.?. 2569,,,
??????????,??????,????,???????????????,??????????,???????,????????????,????????,??????,????????
ALLY,?????????????????????????????????????????????????????????????????? ?????,SET,??????????????????????????,??????????????????????????????????????????????????????????????????,888 ?. ?????????????? ???????????? ?????????? ?????????????,10240,0-2101-5999,-,www.allyreit.com
ALPHAX,?????? ?????? ?????????? ????? (?????),mai,????????,-,?????? 127 ????????????????? ?????????? D ???? 24 ???????????? ??????????? ?????????? ?????????????,10330,0-2095-5653,-,www.alphadivisions.com
ALT,?????? ??????? ??????? ????? (?????),SET,?????????,??????????????????????????????,52/1 ??????? 5 ?????????? - ??????? ???????????? ???????????? ???????,11130,-11796,0-2886-3364,alt.co.th
ALUCON,?????? ?????? ????? (?????),SET,????????????????,??????????,500 ???? 1 ?????????? ??????????? 72 ?????????????? ?????????? ???????????,10270,"0-2398-0147, 0-2398-4601","0-2398-3455, 0-2361-2511",www.alucon.th.com
AMA,?????? ????? ????? ????? (?????),mai,??????,-,33/4 ????????????? ???????? ??????? 33 ???????? ?? ?????????? TNA02 ????????? 9 ???????????? ??????????? ?????????????,10310,0-2001-2801,0-2001-2800,www.amamarine.co.th
AMANAH,?????? ???????? ??????? ????? (?????),SET,?????????????,????????????????????,16-16/1 ???????????? 1 ???????? ??????????? ?????????? ?????????????,10330,0-2091-6456,0-2030-6401,http://www.amanah.co.th
AMARC,?????? ??????????????????????????????????????????????????????????? ????? (?????),mai,??????,-,361 ??????????? 122 ??????????? ??????????? ????????????? ?????????????,10310,0-2516-2422,0-2516-6949,http://amarc.co.th/
AMARIN,?????? ???????? ??????????????? ????? (?????),SET,??????,????????????????,?????? 378 ??????????? ???????????? ??????????? ?????????????,10170,0-2422-9999,"0-2434-3555, 0-2434-3777",http://www.amarin.com
AMATA,?????? ???? ??????????? ????? (?????),SET,??????????????????????????,????????????????????,????????????? 2126 ?????????????????? ??????????? ??????????? ?????????????,10310,"0-2318-0007, 0-2792-0000",0-2318-1096,http://www.amata.com
AMATAR,?????????????????????????????????????????????????????????????????,SET,??????????????????????????,??????????????????????????????????????????????????????????????????,2126 ????????????? ?????????????????? ??????????? ??????????? ?????????????,10320,0-2792-0089,0-2792-0090,www.amatareit.com
AMATAV,?????? ???? ?????? ????? (?????),SET,??????????????????????????,????????????????????,2126 ?????????????????? ??????????? ??????????? ?????????????,10310,0-2792-0000,0-2318-1096,http://www.amatavn.com
AMC,?????? ?????? ????? ????? (?????),SET,????????????????,????? ??? ?????????????,"55, 55/1 ??????? 2 ????????????? ?????????????? ??????????? ??????????? ???????????",10540,0-2383-4100,0-2383-4101-2,www.asiametal.co.th
AMR,?????? ?????????? ?????? ????? (?????),SET,?????????,??????????????????????????????,?????? 469 ???????????????????? ???????????? ?????????? ?????????? ?????????????,10900,0-2589-9955,0-2591-7022,https://www.amrasia.com
ANAN,?????? ?????? ?????????????? ????? (?????),SET,??????????????????????????,????????????????????,?????? 99/1 ??????? 14 ????????????????????? ????????-???? (?.?.10.5) ?????????????? ??????????? ???????????,10540,0-2317-1155,0-2317-1100,http://www.ananda.co.th
ANI,?????? ?????? ?????????? ????????????????? ????? (?????),SET,??????,??????????????????,?????? 628 ???? 6 ??????????????? ????????? ???????? ????????????? ?????????? ?????????????,10120,0-2681-3149,0-2681-3153,www.anicargo.com
AOT,?????? ?????????????? ????? (?????),SET,??????,??????????????????,333 ??????? 7 ?????????????? ????????? ??????????? ?????????????,10210,0-2535-1192,0-2535-5749,www.airportthai.co.th
AP,?????? ???? (????????) ????? (?????),SET,??????????????????????????,????????????????????,"????????????????????? 1 ???? 18, 170/57 ???????????????????? ??????????? ?????????? ?????????????",10110,"0-2261-2518-22, 0-2261-2285-7",0-2261-2548-9,www.apthai.com
APCO,?????? ??????? ??????????????? ????? (?????),SET,??????????????????,????????????????????????,?????? 84/3 ???? 4 ?????????????????????? (???????????) ????????????????? 11 ???????????? ?????????? ?????,51000,0-5358-1374,0-5358-1375,http://www.apco.co.th
APCS,?????? ?????? ????????? ????? (?????),SET,??????????????????????????,?????????????????????,?????? 223/53 ?????????????????????? ?? ???? 13 ??????????? ???????????? ???????? ?????????????,10260,0-2361-5494,-,www.apcs.co.th
APO,?????? ?????????????????? ????? (?????),mai,???????????????????????,-,99 ??????? 2 ?????????????? ???????????? ??????,81110,0-7568-1355,-,https://asianpalmoil.com
APP,?????? ????????? ????? (?????),mai,?????????,-,69 ??????????? 68 ??????????? ?????????????? ???????? ?????????????,10260,0-2744-9045,0-2744-9049,www.applicadthai.com
APURE,?????? ????????? ????????? ????? (?????),SET,???????????????????????,???????????????????,?????????????????????? ?????? 70 ??????? 6 ??????????? ????????????? ????????????? ????????,12120,0-2516-0941-45,0-2516-0946,http://www.apureholdings.com
AQUA,?????? ???? ????????????? ????? (?????),SET,??????,????????????????,"???????????????????? ???? 21, 121/68-69 ????????????? ?????????? ????????? ?????????????",10400,0-2041-8888,-,www.aquacorp.co.th
ARIN,?????? ???????? ????? ????? (?????),mai,??????????????????????????,-,?????? 49/82 ???????????? 4 ????? ?????????? ???????????????? ??????,20130,"0-3819-1581,1395",0-3819-1681,www.arinsiri.com
ARIP,?????? ?????????? ????? (?????),mai,??????,-,99/16-20 ????????????? ????????? ?????????????,10320,0-2642-3400,0-2642-3440,http://www.aripplc.com
ARROW,?????? ???????? ???????? ????? (?????),mai,??????????????????????????,-,?????? 31 ???? 1 ?????????? ??????????? ??????,20160,0-3874-0371-4,0-3874-0150,www.arrowpipe.com
AS,?????? ????????? ????????????? ????? (?????),SET,??????,????????????????,?????? 51 ???????????? ???????? ?????? 9 - ???????? ??????? 18 ?????????? 3 - 8 ????????? 9 ??????????? ?????????? ?????????????,10240,0-2769-8888,0-2090-2730,http://as-th.listedcompany.com
ASAP,?????? ????????????? ????? ?????????????? ????? (?????),SET,?????????????,????????????????????,149 ??????? 3 ???????????? ????????????? ????????????????????? ???????????,10270,0-2091-8181,0-2091-8111,http://www.asapcarrent.com
ASEFA,?????? ?????? ????? (?????),SET,????????????????,?????????????????????????????,?????? 5 ??????? 1 ????????? 2 ????????????? ??????????????????? ?????????,74000,0-2686-7777,0-2686-7788,www.asefa.co.th
ASIA,?????? ???????????? ????? (?????),SET,??????,?????????????????????????,296 ???????? ??????????????? ?????????? ?????????????,10400,0-2217-0808,0-2215-2645,www.asiahotel.co.th
ASIAN,?????? ?????????? ???????????? ????? (?????),SET,???????????????????????,???????????????????,55/2 ???? 2 ????????? 2 ?????????????? ?????????? ?????????,74000,"0-3482-2204-7, 0-3482-2700-6","0-3482-2407, 0-3482-2698-9, 0-3482-2706",www.asiansea.co.th
ASIMAR,?????? ??????? ????? ?????????? ????? (?????),SET,??????,??????????????????,128 ???? 3 ????????????? ?????????????? ??????????????????? ???????????,10290,0-2815-2060-67,0-2453-7213-4,www.asimar.com
ASK,?????? ????????????????????? ????? (?????),SET,?????????????,????????????????????,?????? 129 ???????????? ???????? ??????? 20 ??????????? ???????????????? ???????? ?????????????,10110,"0-2030-0999,0-2679-6226,0-2679-6262",0-2679-6241-3,www.ask.co.th
ASN,?????? ????????? ????????? ????? (?????),mai,?????????????,-,388 ????????????? ???? 16 ?? ??????????? ???????????? ???????? ?????????????,10400,0-2494-8388,0-2619-2296,http://www.asnbroker.co.th
ASP,?????? ?????? ???? ????? ????????? ????? (?????),SET,?????????????,????????????????????,"?????????????????????? ???? 3,9 ???11, 175 ?????????? ?????????????? ??????? ?????????????",10120,"0-2285-1888, 0-2680-1111",0-2285-1901-2,www.asiaplusgroup.co.th
ASW,?????? ?????????? ????? (?????),SET,??????????????????????????,????????????????????,?????? 9 ???????????? 5 ??? 23 ?????????????? ????????? ?????????????,10220,0-2521-9533-35,-,www.assetwise.co.th
ATLAS,?????? ?????? ????????? ????? (?????),SET,????????,?????????????????????,?????? 90 ????????/????? ???????????? ???????? ?? ??? ?????????? ????/???? ???????? ?????/??? ???????? ?????????????,10310,08-0059-7044,0-2168-3379,www.atlasenergy.co.th
ATP30,?????? ?????? 30 ????? (?????),mai,??????,-,?????? 9/30 ??????? 9 ?????????? ??????????? ??????,20160,0-3846-8788,0-3846-8788,http://www.atp30.com
AU,?????? ???????? ?? ????? (?????),mai,???????????????????????,-,1319/9 ??????????? ??????????? ?????????? ?????????????,10250,0-2318-4488,0-2318-1022,www.afteryoudessertcafe.com
AUCT,?????? ??????????? ????? (?????),mai,??????,-,518/28 ?.???????? 39 (??????? 1) ?????????????? ????????????? ?????????????,10310,0-2033-6555,0-2935-6202,www.auct.co.th
AURA,?????? ??????? ?????? ????? (?????),SET,??????????????????,??????,444 ?????????? 26 ?????????????? ???????? ?????????????,10260,0-2749-5044,-,http://www.auroradesign.co.th
AWC,?????? ?????? ?????? ????? ????? (?????),SET,??????????????????????????,????????????????????,?????? 1 ????????????????????? ??????? 54 ?????????? ??????????? ??????? ?????????????,10120,0-2180-9999,0-2180-9966,https://www.assetworldcorp-th.com
AXTRART,??????????????????????????????????????????????????? ?????????? ???????? ?????,SET,??????????????????????????,??????????????????????????????????????????????????????????????????,?????? 111 ???? 10 ???? 1001/1 ???????? ??????? ????? ????? ??????????? ?????????? ?????????? ?????????????,10260,06-3848-4677,-,www.axtrart.com
AYUD,?????? ???????? ?????? ???????? ????? (?????),SET,?????????????,???????????????????????,"????????????????????? ???? 7, 898 ??????????? ??????????? ?????????? ?????????????",10330,0-2657-2970,0-2657-2971,www.ayud.co.th
B,?????? ?? ???????? ????? (?????),SET,??????,??????????????????,?????? 52 ?????????? ?????? ??????? 28 ??????? ????????????? ????????? ?????????????,10500,0-2096-4999,-,WWW.BEGISTICS.CO.TH
B52,?????? ??-52 ???????? ????? (?????),SET,??????,???????,?????? 55 ????????? 9 ???????????? ??????????? ?????????????,10310,0-2645-3999,-,www.b52.co.th
BA,?????? ????????????? ????? (?????),SET,??????,??????????????????,?????? 99 ??????? 14 ???????????????? ????????? ?????????? ?????????????,10900,0-2265-5678,0-2265-5500,http://www.bangkokair.com
BAFS,?????? ????????????????????????????? ????? (?????),SET,????????,?????????????????????,171/2 ???????????? 6 ???????????? ??????????? ?????????????,10210,0-2834-8900,0-2834-8999,www.bafsthai.com
BAM,????????????????????? ?????????????? ????? (?????),SET,?????????????,????????????????????,99 ???????????? ???????? ????????? ?????????????,10500,0-2267-1900,0-2266-3377,www.bam.co.th
BANPU,?????? ?????? ????? (?????),SET,????????,?????????????????????,"??????????? ???? 27, 1550 ?????????????????? ???????????? ?????????? ?????????????",10400,0-2694-6600,0-2207-0696,http://www.banpu.com
BAREIT,????????????????????????????????????????????????????????????????????,SET,??????????????????????????,??????????????????????????????????????????????????????????????????,99 ??????? 14 ??????????-?????? ????????? ?????????? ?????????????,-,0-2265-5834,-,www.bareit.co.th
BAY,??????????????????? ????? (?????),SET,?????????????,??????,1222 ????????? 3 ????????????? ?????????? ?????????????,10120,"0-2296-2000, 0-2683-1000",0-2683-1304,www.krungsri.com
BBGI,?????? ???????? ????? (?????),SET,????????,?????????????????????,2098 ????????? ???????? ??????? 5 ??????????? ?????????????? ?????????? ?????????????,10260,0-2335-8814,0-2335-8800,https://www.bbgigroup.com/
BBIK,?????? ?????? ????? ????? (?????),SET,?????????,??????????????????????????????,?????? 51 ?????????????????????? ???????? ????????? ?????????????,10500,0-2636-7011,-,https://www.bluebik.com
BBL,????????????? ????? (?????),SET,?????????????,??????,333 ??????? ????????? ?????????????,10500,0-2231-4333,0-2231-4890,www.bangkokbank.com
BC,?????? ????? ???????????? ????? (?????),mai,??????????????????????????,-,170/67 ????????????????????? 1 ???? 21 ??????????? 16 (???????) ????????????? ??????????? ?????????? ?????????????,10110,0-2620-8777,0-2620-8778,https://www.boutiquecorporation.com
BCH,?????? ?????? ??? ???????? ????? (?????),SET,??????,????????,44 ???? 4 ???????????? ????????????? ???????,11120,0-2836-9999,0-2106-4858,www.bangkokchainhospital.com
BCP,?????? ?????? ???????????? ????? (?????),SET,????????,?????????????????????,?????? 2098 ????????? ???????? ???? 8 ??????????? ?????????????? ?????????? ?????????????,10260,0-2335-8888,0-2335-8000,http://www.bangchak.co.th
BCPG,?????? ???????? ????? (?????),SET,????????,?????????????????????,????? ???? ???????? ???? 12 ?????? 2098 ??????????? ?????????? ?????????? ?????????????,10260,-,-,www.bcpggroup.com
BCT,?????? ???????? ??????? (????????) ????? (?????),SET,????????????????,?????????????????????,"????????????????? ???? 16, 888/164 ??????????? ??????????? ?????????? ?????????????",10330,"0-2253-6749,0-2626-6375",-,www.birlacarbon.com
BDMS,?????? ?????????????????? ?????(?????),SET,??????,????????,?????? 2 ????????????? 7 ?????????????????? ??????????? ??????????? ?????????????,10310,0-2310-3000,"0-2318-1546 , 0-2310-3327",www.bangkokhospital.com
BE8,?????? ????? 8 ???? ????? (?????),mai,?????????,-,33/4 ????????????? ???????? ?????? ?????????? (???????) ??????? 19 ????????? 9 ???????????? ??????????? ?????????????,10310,0-2116-5081,-,www.beryl8.com
BEAUTY,?????? ?????? ?????????? ????? (?????),SET,??????,???????,?????????????????? 50/1-3 ???????????? 34 ???????????? ????????????? ?????????? ?????????????,10230,0-2946-0700-6,0-2946-1571,WWW.BEAUTYCOMMUNITY.CO.TH
BEC,?????? ?????? ?????? ????? (?????),SET,??????,????????????????,"????????????? ????????, 3199 ???????????? ??????????? ?????????? ?????????????",10110,"0-2204-3333, 0-2262-3333",0-2204-1384,www.becworld.com
BEM,?????? ???????????????????????? ????? (?????),SET,??????,??????????????????,587 ??????????????????? ?????????????? ????????? ?????????????,10400,"0-2641-4611, 0-2354-2000","0-2641-4610, 0-2354-2040",www.bemplc.co.th
BEYOND,?????? ????? ????? ??????? ????? (?????),SET,??????,?????????????????????????,?????? 130 - 132 ?????????????????? 2 ???? 15 ???????? ??????????? ?????????? ?????????????,10330,0-2028-2626,0-2028-2628,www.boundandbeyond.co.th
BGC,?????? ???? ??????????? ????? ????? (?????),SET,????????????????,??????????,47/1 ???? 2 ???????????? ???????????? ????????,12130,0-2834-7000,0-2533-1140,www.bgc.co.th
BGRIM,?????? ??.???? ???????? ????? (?????),SET,????????,?????????????????????,5 ??????????????? ??????????? ?????????? ?????????????,10240,0-2710-3400,0-2379-4245,http://www.bgrimmpower.com
BGT,?????? ?????? ???????????? ????? (?????),mai,??????????????????,-,?????? 188 ????????????? ??????????? ?????????? ?????????????,10510,0-2540-2888,0-2540-1953,http://www.bodyglove.co.th
BH,?????? ???????????????????? ????? (?????),SET,??????,????????,33 ??????????? ??? 3 (????????????) ???????????????? ???????? ?????????????,10110,0-2066-8888,-,www.bumrungrad.com
BIG,?????? ???? ??????? ???????????? ????? (?????),SET,??????,???????,"?????? 115, 115/1 ???????????? 1 ??????????? ?????????? ?????????????",10160,0-2809-9956-65,0-2809-9950,www.bigcamera.co.th
BIOTEC,?????? ???? ???? ???????????? ??? ????? (?????),SET,????????,?????????????????????,"?????????????????, 153 ??????????? 39 ??????????? ???????????????? ???????? ?????????????",10110,0-2260-0050,"0-2259-9825, 0-2261-4813",www.biogreen-energytech.com
BIS,?????? ????????? ??????? ????? ????? (?????),mai,??????,-,479 ??????? 4 ???????????? ????????????? ?????????? ????????????? ???????,11120,0-2960-0290-5,-,https://www.bis-group.com
BIZ,?????? ?????????????????? ????? (?????),SET,??????????????????,????????????????????????,92/45 ????????????? 2 ???? 16 ???????????? ???????? ????????? ?????????????,10500,0-2636-6828-9,0-2236-3167,www.bizalignment.com
BJC,?????? ???????? ???????? ????? (?????),SET,??????,???????,????????????? ???????? 99 ????????? ??????????? 42 ??????????? ?????????? ?????????????,10110,0-2146-5999,0-2146-9309,www.bjc.co.th
BJCHI,?????? ?????? ?????? ????????? ????? (?????),SET,??????????????????????????,?????????????????????,?????? 594 ???? 4 ???????????? ?????????????? ?????,21180,0-3301-7345,0-3301-7348,www.bjc1994.com
BKA,?????? ?????? ?????? ????????????? ????? (?????),mai,??????????????????????????,-,?????? 99 ????? ??.??.???????? ?????????? ???? 14 ????????????? 47 ??? 42 (?????? 2/40) ??????????????? ?????????? ?????????????,10210,0-2494-9187,-,www.bangkokasset.co.th
BKD,?????? ?????? ???-??? ????? (?????),SET,??????????????????????????,?????????????????????,?????? 52/3 ???? 8 ???????????? - ?????????? ????????? ?????????????? ???????,11110,0-2925-5777,0-2925-5778,www.bangkokdeccon.com
BKGI,?????? ?????????????????????????? ????? (?????),SET,??????,????????,3689 ???????????? 4 ??????????? ?????????? ?????????????,10110,0-2261-2638,0-2261-2639,https://www.bangkokgenomics.com/
BKIH,?????? ?????? ????????? ????? (?????),SET,?????????????,???????????????????????,25 ?????????????????????/YWCA ??????? 5 ?????????? ?????????????? ??????? ?????????????,10120,0-2285-7008,0-2677-3789,https://www.bkiholdings.com
BLA,?????? ?????????????????? ????? (?????),SET,?????????????,???????????????????????,?????? 1415 ??????????-??????? ????????????? ?????????? ?????????????,10800,0-2777-8000,0-2777-8899,www.bangkoklife.com
BLAND,?????? ??????????? ????? (?????),SET,??????????????????????????,????????????????????,"???????????? ?????????? ????????? ???? 10, 47/569-576 ???? 3 ???????????? 3 ???????????? ????????????? ???????",11120,0-2504-4940-49,-,www.bangkokland.co.th
BLC,?????? ?????????? ????? ???????? ????? (?????),SET,??????????????????,????????????????????????,48/1 ??????? 5 ????????????? ????????? ????????????????? ???????,70000,0-3271-9900,0-3271-9917,www.blcplc.com
BLESS,?????? ????? ?????? ????? ????? (?????),mai,??????????????????????????,-,?????? 609/154 ??????????? ????????????? ?????????? ?????????????,10230,0-2930-7155-8,0-2948-8304-5,https://www.bagroup.co.th
BLISS,?????? ???? ????????????? ????? (?????),SET,?????????,??????????????????????????????,96 ??????????????????????????? 9 ??????????? ????????? ?????????????,10250,-,-,www.blissintelligence.co.th
BM,?????? ???????????????? ????? (?????),mai,????????????????,-,?????? 149 ??????? 6 ????????????? ?????????? ?????????????? ???????????,10130,"0-2817-5555-7, 0-2817-5440-3","0-2817-5432 , 0-2817-5443",www.bmplc.co.th
BOFFICE,???????????????????????????????????????????????????????????,SET,??????????????????????????,??????????????????????????????????????????????????????????????????,591 ??????????? ???????????????? ???????? ?????????????,10110,0-2261-0170,0-2261-0170,www.bofficereit.com
BOL,?????? ??????? ??????? ????? (?????),mai,??????,-,?????? 1023 ????? ??????? ???? ???? 28 ????????? 3 ????????????? ?????????? ?????????????,10120,0-2657-3999,0-2657-3900-1,www.BOL.co.th
BPP,?????? ?????? ???????? ????? (?????),SET,????????,?????????????????????,1550 ??????????? ???? 26 ?????????????????? ???????????? ?????????? ?????????????,10400,0-2007-6000,0-2007-6060,www.banpupower.com
BPS,?????? ??????? ????????? ????? (?????),mai,????????????????,-,"?????? 25/34-38, 47-51 ??????????? ???????????? ?????????????????????? ???????????",10270,0-2755-2688,0-2380-5096,https://www.bpstechnology.co.th
BR,?????? ???????????? ????? (?????),SET,???????????????????????,???????????????????,18/1 ?.12 ?.?????????????????????? ?.?????????? ?.?????? ???????????,10540,0-2337-3280,0-2337-3293,www.br-brgroup.com
BRI,?????? ????????? ????? (?????),SET,??????????????????????????,????????????????????,?????????????????????? 20 ?????????? 4345 ??????????? ????????? ???????? ?????????????,10260,1509,-,https://britania.co.th/
BROCK,?????? ???????????????? ????? (?????),SET,??????????????????????????,????????????????????,601 ??????????? 39 ????????????? ?????????????? ????????????? ?????????????,10310,0-2934-7000,0-2934-7186,www.rockgarden.co.th
BRR,?????? ??????????????? ????? (?????),SET,???????????????????????,???????????????????,237 ??????? 2 ?????????????? ???????????? ?????????,31190,0-4465-9020-3,"0-4465-9020-3 ext. 103,131,152",http://www.buriramsugar.com
BRRGIF,?????????????????????????????????????????????????????,SET,????????,?????????????????????,175 ?????????????????????? ???? 7 ???? 21 ??????? 26 ?????????? ?????????????? ??????? ?????????????,10120,0-2674-6488,0-2679-5995,http://www.bblam.co.th/
BSBM,?????? ??????????????? ????? (?????),SET,????????????????,????? ??? ?????????????,"??????????????? ???? 8, 28/1 ???????????? ???????? ????????? ?????????????",10500,0-2630-0590-5,0-2236-6995-6,http://www.bsbm.co.th
